file	sentence
common_voice_th_26216744.mp3	บ จ ก ตะวันเยี่ยม
common_voice_th_26147047.mp3	ห จ ก เยาวธนโชค
common_voice_th_26120971.mp3	ห จ ก นาถะพินธุมอเตอร์
common_voice_th_26153923.mp3	ห จ ก เลขะพันธุ์ก่อสร้าง
common_voice_th_26103939.mp3	บริษัทจำกัดดาบเพ็ชร์
common_voice_th_26057680.mp3	ห จ ก ธรรมเมธาพืชผล
common_voice_th_26167946.mp3	ห จ ก ศิวะวรเวท
common_voice_th_26167354.mp3	บ ม จ ทีฆะและเพื่อน
common_voice_th_26052276.mp3	บ จ ก น้ำทิพย์
common_voice_th_26050933.mp3	ห จ ก ศิวะวรเวท
common_voice_th_26050940.mp3	บ ม จ ปรีชากุลเศรษฐ์บรรจุภัณฑ์
common_voice_th_26066468.mp3	ห จ ก นาถะพินธุมอเตอร์
common_voice_th_26066515.mp3	บ จ ก ดาบเพ็ชร์
common_voice_th_26081408.mp3	ห จ ก เตมิยะเดชแพคกิ้ง
common_voice_th_26094020.mp3	บ จ ก น้ำทิพย์
common_voice_th_26095932.mp3	บ ม จ ทีฆะและเพื่อน
common_voice_th_26096017.mp3	ห จ ก ธรรมเมธาพืชผล
common_voice_th_26131457.mp3	บ จ ก ตะวันเยี่ยม
common_voice_th_26148908.mp3	ห จ ก ธัญเสถียรภาพยนตร์
common_voice_th_26161545.mp3	ห จ ก ร่มธิติรัตน์
common_voice_th_26049808.mp3	บ ม จ ทีฆะและเพื่อน
common_voice_th_26064140.mp3	ห จ ก ธัญเสถียรภาพยนตร์
common_voice_th_26073121.mp3	บ จ ก ตะวันเยี่ยม
common_voice_th_26074257.mp3	ห จ ก เยาวธนโชค
common_voice_th_26081985.mp3	ห จ ก ร่มธิติรัตน์
common_voice_th_26084071.mp3	ห จ ก เลขะพันธุ์ก่อสร้าง
common_voice_th_26092815.mp3	บ ม จ ปรีชากุลเศรษฐ์บรรจุภัณฑ์
common_voice_th_26092853.mp3	ห จ ก ศิวะวรเวท
common_voice_th_26153470.mp3	ห จ ก เตมิยะเดชแพคกิ้ง
common_voice_th_26161266.mp3	ห จ ก ธรรมเมธาพืชผล
common_voice_th_26177956.mp3	ห จ ก นาถะพินธุมอเตอร์